, 4th of(event, time)
offer(city, attraction)
offer(city, sport)
offer(client, service)
offer(community, activity)
offer(community, service)
offer(community, sport)
offer(company, application)
offer(company, business)
offer(company, device)
offer(company, provider)
offer(company, service)
offer(company, solution)
offer(company, technology)
offer(corporation, service)
offer(country, activity)
offer(destination, activity)
offer(destination, sport)
offer(directory, service)
offer(employer, service)
offer(engine, application)
offer(engine, service)
offer(engine, tool)
offer(facility, service)
offer(firm, service)
offer(game, game)
offer(hotel, area)
offer(hotel, place)
offer(institution, service)
offer(island, activity)
offer(island, sport)
offer(leader, device)
offer(organisation, service)
offer(organization, service)
offer(partner, service)
offer(place, activity)
offer(place, facility)
offer(place, service)
offer(place, sport)
offer(provider, application)
offer(provider, company)
offer(provider, service)
offer(provider, solution)
offer(provider, system)
offer(provider, technology)
offer(provider, tool)
offer(service, application)
offer(service, service)
offer(service, technology)
offer(site, game)
offer(site, service)
offer(site, tool)
offer(solution, service)
offer(state, activity)
offer(state, sport)
offer(time, activity)
offer(town, activity)
offer(town, sport)
offer(village, activity)
offer follow(area, city)
offer follow(community, city)
offer follow(place, city)
offer for(company, engine)
open(agency, event)
open(service, event)
open(service, tool)
open for(band, band)
open in(attraction, city)
open in(attraction, place)
open in(attraction, state)
open in(company, city)
open in(event, city)
open in(facility, city)
open in(institution, city)
open in(place, city)
open to(area, area)
open to(area, place)
open to(room, place)
operate(country, system)
operate in(agency, country)
operate in(company, city)
operate in(company, country)
operate in(company, place)
operate in(company, state)
operate in(leader, country)
operate in(organization, country)
operate in(provider, country)
operate in(subsidiary, country)
operate out of(company, country)
operate throughout(organisation, country)
originate from(animal, state)
originate from(art, country)
originate from(bird, country)
originate from(food, country)
originate from(sport, country)
originate in(activity, country)
originate in(animal, area)
originate in(animal, country)
originate in(animal, place)
originate in(art, country)
originate in(crop, area)
originate in(crop, country)
originate in(crop, place)
originate in(crop, region)
originate in(disease, animal)
originate in(disease, area)
originate in(disease, country)
originate in(disease, place)
originate in(disease, region)
originate in(dish, country)
originate in(event, country)
originate in(fish, country)
originate in(food, area)
originate in(food, country)
originate in(food, place)
originate in(food, region)
originate in(fruit, country)
originate in(game, country)
originate in(game, place)
originate in(herb, country)
originate in(illness, country)
originate in(ingredient, country)
originate in(material, country)
originate in(member, country)
originate in(organization, country)
originate in(place, country)
originate in(plant, area)
originate in(plant, country)
originate in(plant, place)
originate in(plant, region)
originate in(practice, country)
originate in(product, country)
originate in(source, country)
originate in(sport, country)
originate in(sport, place)
originate in(system, country)
originate in(therapy, country)
originate in(time, country)
originate in(tool, country)
originate in(treatment, country)
originate in(tree, country)
originate in(vegetable, country)
outnumber(animal, animal)
overlook(area, area)
overlook(area, place)
overlook(place, area)
overlook(place, place)
overtake(city, city)
overtake(country, country)
owe(country, agency)
owe(country, institution)
owe(country, organization)
own(company, company)
own(company, engine)
own(company, publication)
own(corporation, company)
own(engine, engine)
own(engine, service)
own(leader, company)
own(service, engine)
own(site, engine)
pa(state, drug)
pa(state, state)
participate in(country, event)
participate in(country, industry)
pass(state, state)
pass into(agent, food)
pass into(agent, source)
pass into(drug, food)
pass into(drug, source)
pass into(effect, source)
pass into(hormone, source)
pass into(inhibitor, food)
pass into(inhibitor, source)
pass into(medication, food)
pass into(medication, source)
pass into(member, food)
pass into(member, source)
pass into(mineral, food)
pass into(mineral, source)
pass into(nutrient, source)
pass into(product, food)
pass into(product, source)
pass into(substance, source)
pass into(system, source)
pass into(vitamin, source)
pass to(city, country)
pay(company, company)
pay for(sport, sport)
pay to(card, card)
peel(fruit, food)
perform(band, country)
perform in(artist, city)
perform in(artist, place)
perform in(band, city)
permit(hormone, factor)
permit(industry, country)
permit on(factor, area)
permit on(factor, place)
pick(game, state)
pick(state, crop)
pick(state, state)
pioneer(country, institution)
plate(metal, material)
plate(metal, metal)
play(activity, activity)
play(activity, game)
play(activity, sport)
play(animal, game)
play(animal, sport)
play(animal, state)
play(area, sport)
play(area, state)
play(artist, artist)
play(city, city)
play(city, game)
play(city, sport)
play(city, state)
play(city, town)
play(club, city)
play(club, game)
play(club, sport)
play(community, sport)
play(company, game)
play(country, country)
play(country, destination)
play(country, game)
play(country, island)
play(country, place)
play(country, sport)
play(destination, country)
play(event, game)
play(event, sport)
play(game, activity)
play(game, game)
play(game, sport)
play(institution, state)
play(island, country)
play(leader, sport)
play(man, man)
play(member, sport)
play(organization, game)
play(organization, sport)
play(place, country)
play(place, game)
play(place, place)
play(place, sport)
play(place, state)
play(place, university)
play(player, activity)
play(player, game)
play(player, sport)
play(school, state)
play(site, game)
play(site, sport)
play(sport, activity)
play(sport, game)
play(sport, sport)
play(state, game)
play(state, institution)
play(state, place)
play(state, school)
play(state, sport)
play(state, state)
play(state, team)
play(state, university)
play(system, game)
play(system, sport)
play(team, city)
play(team, game)
play(team, sport)
play(team, state)
play(team, team)
play(time, game)
play(time, sport)
play(town, game)
play(town, sport)
play(university, place)
play(university, state)
play(university, university)
play(village, sport)
play at(place, state)
play at(state, state)
play in(artist, city)
play in(band, city)
play in(country, city)
play in(country, event)
play in(game, country)
play in(player, country)
play in(sport, country)
play in(state, game)
possess(country, source)
post(village, time)
potentiate(agent, drug)
potentiate(drug, drug)
pour(system, instrument)
predict(company, country)
predict(site, city)
predict(site, company)
prefer(browser, browser)
prefer(plant, factor)
prefer(sport, sport)
prepare for(city, event)
prepare for(country, event)
prepare with(food, mineral)
present(leader, sport)
present(service, artist)
present in(disorder, time)
preside over(member, body)
press(infection, product)
prevent(drug, disease)
prevent(drug, effect)
prevent(factor, disease)
prevent(food, disease)
prevent(hormone, disease)
prevent(hormone, process)
prevent(member, process)
prevent(mineral, disease)
prevent(mineral, effect)
prevent(nutrient, disease)
prevent(procedure, disease)
prevent(product, disease)
prevent(product, time)
prevent(substance, disease)
prevent(vitamin, disease)
proclaim(country, city)
produce(animal, food)
produce(animal, gas)
produce(animal, material)
produce(animal, product)
produce(animal, source)
produce(area, hormone)
produce(company, application)
produce(company, device)
produce(company, material)
produce(company, product)
produce(company, tool)
produce(country, crop)
produce(country, drug)
produce(country, food)
produce(country, fruit)
produce(country, ingredient)
produce(country, material)
produce(country, metal)
produce(country, plant)
produce(country, product)
produce(country, source)
produce(country, substance)
produce(device, gas)
produce(device, service)
produce(disease, disease)
produce(disease, effect)
produce(disease, hormone)
produce(drug, effect)
produce(drug, state)
produce(factor, effect)
produce(factor, gas)
produce(factor, hormone)
produce(food, food)
produce(food, product)
produce(food, substance)
produce(gas, gas)
produce(hormone, hormone)
produce(material, gas)
produce(organ, factor)
produce(organ, hormone)
produce(organ, substance)
produce(place, food)
produce(place, fruit)
produce(process, gas)
produce(process, product)
produce(product, gas)
produce(source, factor)
produce(source, gas)
produce(source, product)
produce(state, crop)
produce(state, food)
produce(state, fruit)
produce(treatment, effect)
produce(vitamin, protein)
produce in(drug, country)
produce in(drug, place)
produce in(drug, state)
produce in(food, country)
produce in(plant, country)
produce in(product, country)
produce in(source, country)
produce in(substance, country)
progress to(disease, disease)
promise(man, country)
promise(sport, city)
promote(factor, disease)
promote(factor, process)
promote(hormone, process)
promote(organization, area)
propose(leader, service)
propose that(country, organization)
protect against(factor, disease)
protect against(hormone, disease)
protect against(vitamin, disease)
provide(agency, service)
provide(animal, product)
provide(application, service)
provide(application, tool)
provide(business, service)
provide(center, service)
provide(client, service)
provide(company, agent)
provide(company, application)
provide(company, business)
provide(company, service)
provide(company, solution)
provide(corporation, service)
provide(employer, service)
provide(engine, service)
provide(facility, service)
provide(firm, area)
provide(firm, service)
provide(food, mineral)
provide(food, nutrient)
provide(food, vitamin)
provide(fruit, mineral)
provide(fruit, nutrient)
provide(fruit, vitamin)
provide(herb, mineral)
provide(leader, service)
provide(measure, technology)
provide(member, service)
provide(organisation, service)
provide(organization, service)
provide(partner, service)
provide(product, mineral)
provide(product, nutrient)
provide(product, vitamin)
provide(provider, application)
provide(provider, service)
provide(provider, solution)
provide(provider, technology)
provide(provider, tool)
provide(service, service)
provide(service, solution)
provide(service, technology)
provide(site, community)
provide(site, service)
provide(solution, application)
provide(solution, service)
provide(source, acid)
provide(source, mineral)
provide(source, nutrient)
provide(source, vitamin)
provide(system, application)
provide(system, service)
provide(system, solution)
provide(system, technology)
provide(technology, service)
provide(technology, technology)
provide(tool, tool)
provide(vegetable, mineral)
provide(vegetable, nutrient)
provide(vegetable, vitamin)
provide by(company, service)
provide by(company, site)
provide by(place, service)
provide by(place, site)
provide circulation_stimulate(product, gas)
publish(agency, publication)
publish(agency, source)
publish(company, publication)
publish(organization, publication)
publish(village, city)
publish(village, place)
publish(village, state)
publish(village, time)
publish in(agency, place)
publish in(agency, publication)
pull(company, drug)
pull(company, medication)
pull(state, food)
pull(state, source)
pummel(factor, state)
pummel(source, state)
purchase(company, company)
purchase(company, leader)
purchase(company, site)
purchase(engine, company)
purchase(engine, engine)
purchase(engine, service)
purchase(engine, site)
push(company, drug)
put(game, country)
put(player, city)
put(sport, country)
qualify for(country, event)
quit(company, country)
quit(effect, factor)
raise(drug, disease)
raise(drug, effect)
raise(drug, factor)
raise(drug, hormone)
raise(drug, risk)
raise(factor, factor)
raise(food, factor)
raise(hormone, factor)
raise(substance, factor)
raise(vitamin, factor)
raise for(animal, food)
raise for(animal, product)
raise for(animal, source)
rake through(event, state)
rank(agency, country)
rank(body, country)
rank(institution, country)
rank(organisation, country)
rank(organization, city)
rank(organization, country)
rank(organization, place)
rank(organization, state)
rank(publication, city)
rank(publication, place)
rank ahead of(city, city)
rap(metal, country)
rarely cause(disease, complication)
ratify(country, center)
ratify(country, city)
ratify(country, place)
rattle(event, country)
rattle(game, country)
reach(animal, country)
reach(city, city)
reach(city, event)
reach(city, game)
reach(country, event)
reach(country, factor)
reach(disease, city)
reach(disease, country)
reach(food, country)
reach(game, country)
reach(state, place)
reach(team, game)
react to(nutrient, mineral)
react to(nutrient, nutrient)
react to(vitamin, mineral)
react to(vitamin, nutrient)
read(book, book)
read(man, book)
reappear in(disease, country)
reappear in(infection, country)
recall(company, drug)
recall(company, food)
recall(company, product)
receive(city, factor)
receive(member, award)
receive(treatment, treatment)
receive with(technology, solution)
receive with(technology, tool)
recognize(country, city)
recognize(country, country)
recognize(country, institution)
recognize(state, event)
recognize(state, institution)
recommend(agency, service)
recommend(company, system)
recommend(organization, service)
recommend(provider, system)
recommend for(country, fruit)
recommend that(agency, agency)
recommend that(organization, agency)
recommend that(organization, country)
recommend that(organization, vitamin)
record in(film, city)
recover from(country, event)
reduce(agent, factor)
reduce(drug, disease)
reduce(drug, effect)
reduce(drug, factor)
reduce(drug, risk)
reduce(drug, substance)
reduce(factor, effect)
reduce(factor, factor)
reduce(factor, process)
reduce(food, factor)
reduce(food, substance)
reduce(gas, gas)
reduce(herb, effect)
reduce(herb, factor)
reduce(herb, substance)
reduce(hormone, factor)
reduce(hormone, hormone)
reduce(inhibitor, factor)
reduce(medication, disease)
reduce(medication, effect)
reduce(medication, factor)
reduce(mineral, factor)
reduce(nutrient, factor)
reduce(plant, effect)
reduce(plant, factor)
reduce(product, effect)
reduce(product, factor)
reduce(source, factor)
reduce(source, substance)
reduce(treatment, factor)
reduce(vitamin, acid)
reduce(vitamin, factor)
reduce(vitamin, substance)
refer to(disease, disease)
refer to(disorder, disorder)
refer to(factor, factor)
refer to(procedure, procedure)
regret lose(city, member)
regret lose(city, work)
regulate(agency, source)
regulate(hormone, factor)
reinforce(material, area)
reinforce(material, material)
reinforce(material, product)
reject(body, area)
rejoin(country, organization)
relate(disease, disease)
relate to(event, country)
relate to(organisation, country)
release(browser, browser)
release(company, application)
release(company, browser)
release(company, company)
release(company, device)
release(company, game)
release(company, platform)
release(company, product)
release(company, service)
release(company, system)
release(company, technology)
release(company, tool)
release(engine, application)
release(engine, product)
release(engine, service)
release(engine, tool)
release(food, system)
release(fruit, animal)
release(fruit, application)
release(fruit, browser)
release(fruit, device)
release(fruit, platform)
release(fruit, player)
release(fruit, product)
release(fruit, system)
release(game, system)
release(leader, system)
release in(village, country)
release version of(browser, browser)
relieve(drug, effect)
relieve(herb, effect)
rely on(country, industry)
rely on(country, source)
remain in(area, country)
remain part of(place, country)
remain part of(region, country)
remove to(member, state)
reorganize(provider, area)
replace(gas, gas)
replace(metal, mineral)
replace(system, system)
report(country, disease)
report(country, infection)
report(place, team)
report(publication, agency)
report(publication, company)
report(publication, country)
report(publication, leader)
report(publication, man)
report(publication, time)
report(state, state)
report from(editor, place)
report from(service, city)
report in(agency, time)
report in(company, time)
report in(organization, time)
report in(publication, time)
report in(service, time)
report in(source, time)
report on(organization, country)
report on(publication, time)
report on(service, time)
report that(agency, country)
report that(agency, state)
report that(organization, agency)
report that(organization, country)
report that(provider, browser)
report that(publication, agency)
report that(publication, company)
report that(publication, country)
report that(publication, leader)
report that(publication, man)
report that(publication, organization)
report that(service, agency)
report that(service, country)
report that(site, country)
report that(source, country)
represent(organization, organization)
require(acid, vitamin)
require(animal, sport)
require(application, system)
require(application, tool)
require(complication, treatment)
require(country, card)
require(disease, hormone)
require(disease, treatment)
require(plant, factor)
require(procedure, effect)
require(procedure, procedure)
require(procedure, service)
require(process, card)
require(process, factor)
require(process, gas)
require(process, nutrient)
require(process, process)
require(process, product)
require(process, source)
require(process, vitamin)
require(service, browser)
require(system, browser)
require(tool, browser)
require(tool, system)
resemble(disease, disease)
resemble(vegetable, vegetable)
reside at(leader, city)
reside in(graduate, city)
reside in(graduate, state)
reside in(member, area)
reside in(member, city)
reside in(member, place)
reside in(member, state)
reside in(member, town)
resist(material, process)
resume(country, activity)
resume(country, technology)
retain(country, event)
retire from(player, game)
retire from(player, sport)
return from(city, country)
return from(leader, country)
return from(man, country)
return from(member, country)
return from(tool, country)
return to(activity, event)
return to(area, city)
return to(area, country)
return to(artist, city)
return to(artist, country)
return to(artist, place)
return to(artist, state)
return to(author, country)
return to(book, city)
return to(city, city)
return to(city, country)
return to(city, place)
return to(city, state)
return to(community, city)
return to(community, country)
return to(company, country)
return to(disease, country)
return to(event, city)
return to(event, country)
return to(film, country)
return to(food, city)
return to(food, place)
return to(game, city)
return to(graduate, city)
return to(graduate, country)
return to(graduate, state)
return to(instrument, city)
return to(leader, city)
return to(leader, country)
return to(leader, place)
return to(leader, state)
return to(man, city)
return to(man, country)
return to(man, place)
return to(man, state)
return to(manufacturer, city)
return to(manufacturer, country)
return to(member, area)
return to(member, city)
return to(member, country)
return to(member, place)
return to(member, state)
return to(member, town)
return to(place, city)
return to(place, country)
return to(place, place)
return to(place, state)
return to(player, city)
return to(player, country)
return to(region, country)
return to(service, city)
return to(sport, event)
return to(state, city)
return to(state, country)
return to(state, place)
return to(state, state)
return to(system, city)
return to(system, country)
return to(tool, city)
return to(town, city)
return to(town, country)
return to(town, place)
return to(town, state)
return to(work, city)
return to(work, country)
return to(writer, country)
return to(writer, state)
reveal(procedure, complication)
reveal(procedure, disease)
reveal(procedure, disorder)
reveal(procedure, effect)
reveal inward(village, country)
review on(system, site)
rise in(disease, country)
rise in(factor, time)
rise with(factor, factor)
roast(food, crop)
roast(food, food)
roast(food, vegetable)
roast(ingredient, food)
roast(product, crop)
roast(product, food)
roast(source, food)
roll(infection, material)
rule(band, country)
rule(city, region)
rule(country, country)
rule(country, place)
rule(country, state)
rule(leader, country)
rule(man, country)
rule(organization, country)
rule in(agency, time)
rule in(country, city)
rule in(institution, time)
rule in(man, country)
rule in(organization, time)
run(company, system)
run(device, system)
run(man, country)
run(platform, system)
run(product, system)
run(system, platform)
run(system, system)
run for(member, body)
run on(application, platform)
run on(application, system)
run on(browser, platform)
run on(browser, system)
run on(community, system)
run on(device, gas)
run on(editor, system)
run on(engine, system)
run on(product, system)
run on(project, system)
run on(solution, system)
run on(system, company)
run on(system, platform)
run on(system, system)
run on(technology, gas)
run on(technology, system)
run on(tool, platform)
run on(tool, system)
run under(tool, system)
sack(city, city)
sail for(city, country)
sail for(state, city)
sail to(state, city)
san(area, city)
san(city, area)
san(city, city)
san(city, factor)
san(city, place)
san(place, city)
saut_ with(food, vegetable)
saute with(food, food)
saute with(food, vegetable)
save(agent, city)
say(agency, company)
say(agency, disease)
say(company, agency)
say(company, device)
say(engine, engine)
say(game, sport)
say(leader, agency)
say(man, country)
say(member, agency)
say(member, member)
say(metal, country)
say(organisation, country)
say(sport, game)
say(sport, sport)
say about(book, book)
say about(book, event)
say in(book, book)
say in(company, time)
say in(country, time)
say that(agency, country)
say that(city, country)
say that(herb, metal)
say that(leader, country)
say that(man, country)
say that(member, country)
score(player, city)
score(player, player)
score(player, team)
score for(agent, city)
score for(player, city)
search(engine, application)
search(engine, engine)
secede from(place, country)
secede from(state, country)
secrete(organ, hormone)
see(company, factor)
see(country, country)
see(metal, country)
see(system, factor)
see(time, factor)
seek(country, dish)
seek(graduate, graduate)
seek(graduate, man)
seek(man, graduate)
seem(time, factor)
seize(agency, drug)
seize(country, island)
seize(service, drug)
seize in(drug, country)
select(company, company)
sell(company, company)
sell(company, device)
sell(company, food)
sell(company, product)
sell(company, system)
sell(country, company)
sell(country, leader)
sell(country, manufacturer)
sell(organization, piece)
sell(site, city)
sell in(company, country)
sell in(food, country)
sell in(ingredient, country)
sell in(product, country)
sell in(product, state)
sell in(village, country)
sell into(animal, state)
sell out(company, medication)
send(country, application)
send(country, country)
send(country, service)
send(country, technology)
send(country, tool)
separate from(place, country)
separate from(state, state)
separate officially from(state, state)
serve(agency, process)
serve(center, city)
serve(city, state)
serve(community, state)
serve(corporation, city)
serve(employer, city)
serve(organization, factor)
serve(organization, state)
serve(place, state)
serve(state, area)
serve(state, city)
serve(state, community)
serve(state, place)
serve(state, state)
serve(state, town)
serve(town, state)
serve as(member, company)
serve as(member, member)
serve in(man, country)
serve in(member, country)
serve in(member, organization)
serve on(food, food)
serve with(crop, food)
serve with(dish, crop)
serve with(dish, food)
serve with(dish, product)
serve with(dish, vegetable)
serve with(fish, food)
serve with(fish, vegetable)
serve with(food, crop)
serve with(food, dish)
serve with(food, food)
serve with(food, fruit)
serve with(food, ingredient)
serve with(food, plant)
serve with(food, product)
serve with(food, vegetable)
serve with(ingredient, food)
serve with(product, food)
serve with(product, vegetable)
serve with(source, food)
serve with(source, vegetable)
serve with(vegetable, food)
settle in(artist, city)
settle in(book, city)
settle in(system, city)
shake(city, country)
shake(event, country)
shake(game, country)
shall be fill with(effect, material)
shall elect(organization, member)
shall mean(agency, agency)
shall mean(corporation, activity)
shall mean(corporation, agency)
shall mean(corporation, corporation)
shall pay(company, company)
shall pay to(company, company)
shape(organ, food)
share(system, service)
ship to(country, city)
ship to(source, state)
should avoid(drug, drug)
should avoid(drug, factor)
should avoid(drug, substance)
should avoid(herb, herb)
should avoid(medication, drug)
should be avoid during(drug, time)
should be avoid during(herb, time)
should be avoid during(plant, time)
should be avoid in(drug, time)
should be in(game, event)
should be take by(drug, effect)
should be take during(medication, time)
should be test for(disease, disease)
should be use during(agent, factor)
should be use during(drug, factor)
should be use during(drug, time)
should be use during(herb, time)
should be use during(inhibitor, factor)
should be use during(inhibitor, time)
should be use during(medication, factor)
should be use during(medication, time)
should be use during(product, factor)
should be use during(product, time)
should be withdraw from(system, country)
should buy(company, company)
should buy(fruit, company)
should follow(state, state)
should get out of(country, body)
should get out of(country, institution)
should get out of(country, organisation)
should get out of(country, organization)
should monitor(hormone, factor)
should turn off(system, tool)
show(procedure, complication)
show(procedure, disease)
show(procedure, disorder)
show(procedure, effect)
shrug(man, area)
side with(country, country)
sign(city, player)
sign(country, area)
sign(country, body)
sign(country, instrument)
sign(country, organization)
sign(country, tool)
sign in(country, city)
sign treaty of(country, city)
sign with(village, state)
simmer with(food, vegetable)
sing(artist, country)
size(city, area)
size(city, place)
slam(metal, country)
slam into(event, city)
slice(crop, vegetable)
slice(food, food)
slice(food, vegetable)
slice(vegetable, food)
slice(vegetable, vegetable)
smoke(city, food)
smuggle into(drug, country)
snap(vegetable, crop)
snap(vegetable, food)
snap(vegetable, vegetable)
sour somewhat as(country, company)
speak in(institution, town)
speak of(member, procedure)
speak to(leader, organization)
speak with(event, player)
specialize in(agent, place)
specialize in(company, service)
specialize in(company, solution)
specialize in(firm, area)
specialize in(firm, service)
specialize in(member, area)
specialize in(member, procedure)
specialize in(member, service)
specialize in(provider, service)
specialize in(state, area)
specialize in(state, procedure)
specialize in(state, service)
speed(factor, event)
spend(city, time)
spend in(time, city)
spend on(country, service)
sphere ripple out from(process, source)
split(country, sport)
sponsor(organization, event)
sport(country, sport)
spot(crop, disease)
spot(disease, disease)
spot(disease, effect)
spot(disease, illness)
spot(disease, infection)
spot(food, disease)
spot(fruit, disease)
spot(illness, disease)
spot(illness, effect)
spot(illness, illness)
spot(illness, infection)
spot(infection, disease)
spot(infection, effect)
spot(infection, infection)
spot(place, animal)
spot(place, bird)
spot(plant, disease)
spot(state, animal)
spot(state, bird)
spot(vegetable, disease)
spread(country, disease)
spread across(factor, time)
spread in(disease, country)
spread in(disease, state)
spread in(infection, country)
spread in(infection, state)
spread throughout(disease, country)
spread to(disease, country)
spread to(infection, country)
stand for(acid, acid)
stand for(agency, agency)
stand for(agency, organization)
stand for(application, service)
stand for(application, technology)
stand for(association, organization)
stand for(device, device)
stand for(disease, disease)
stand for(disease, disorder)
stand for(disease, illness)
stand for(disease, infection)
stand for(disorder, disease)
stand for(disorder, disorder)
stand for(hormone, hormone)
stand for(illness, disease)
stand for(illness, illness)
stand for(infection, disease)
stand for(infection, infection)
stand for(material, material)
stand for(measure, measure)
stand for(measure, technology)
stand for(organization, agency)
stand for(organization, association)
stand for(organization, organization)
stand for(procedure, procedure)
stand for(process, process)
stand for(process, service)
stand for(service, application)
stand for(service, service)
stand for(service, system)
stand for(service, technology)
stand for(system, service)
stand for(system, system)
stand for(system, technology)
stand for(system, tool)
stand for(technology, service)
stand for(technology, system)
stand for(technology, technology)
stand for(technology, tool)
stand for(tool, service)
stand for(tool, system)
stand for(tool, technology)
stand for(tool, tool)
stand for(treatment, procedure)
stand for(treatment, treatment)
star(activity, player)
star(game, game)
star(game, player)
star(game, site)
star(sport, player)
star(team, player)
start(activity, time)
start(country, event)
start(time, time)
start at(process, event)
start in(activity, country)
start in(disease, country)
start in(disease, time)
start in(disorder, time)
start in(event, city)
start in(event, country)
start in(event, time)
start in(factor, time)
start in(game, country)
start in(illness, time)
start in(organisation, country)
start in(organization, country)
start in(sport, country)
start in(system, country)
start in(time, city)
start in(time, country)
start in(time, time)
start in(village, city)
start in(village, country)
start in(village, place)
start in(village, state)
start on(time, time)
start reject(service, system)
state(member, agency)
state(member, body)
stay at(service, city)
stay in(company, city)
stay in(man, city)
stay in(service, city)
steal(service, drug)
stimulate(acid, process)
stimulate(drug, process)
stimulate(factor, process)
stimulate(hormone, effect)
stimulate(hormone, hormone)
stimulate(hormone, process)
stimulate(protein, process)
stop make(organ, hormone)
stop produce(organ, hormone)
strike(disease, city)
strike(disease, country)
strike(event, area)
strike(event, city)
strike(event, country)
strike(event, place)
strike(event, state)
strike(game, country)
strike(system, country)
strike in(disease, country)
strike in(disorder, time)
study at(member, university)
study in(artist, city)
stuff(city, food)
stuff(food, food)
stuff(fruit, food)
stuff(vegetable, food)
stuff with(dish, food)
stuff with(dish, vegetable)
stuff with(fish, food)
stuff with(fish, vegetable)
stuff with(food, crop)
stuff with(food, food)
stuff with(food, fruit)
stuff with(food, ingredient)
stuff with(food, product)
stuff with(food, source)
stuff with(food, vegetable)
stuff with(product, vegetable)
stuff with(source, food)
stuff with(source, fruit)
stuff with(source, vegetable)
stuff with(vegetable, food)
stuff with(vegetable, fruit)
stuff with(vegetable, vegetable)
stumble across(company, drug)
stun(country, country)
submit to(village, time)
sue(agency, company)
sue(agency, organization)
sue(card, card)
sue(city, company)
sue(company, company)
sue(company, engine)
sue(company, fruit)
sue(company, leader)
sue(company, site)
sue(country, company)
sue(fruit, company)
sue(leader, company)
sue(organization, agency)
sue(organization, city)
sue(organization, state)
sue(state, agency)
sue(state, company)
sue(state, state)
suffer(country, event)
suffer(country, factor)
suffer from(artist, disease)
suffer from(country, event)
suffer from(country, factor)
suffer from(man, disease)
suffer from(member, disease)
suffer from(member, disorder)
suggest that(member, country)
supply(food, vitamin)
support(application, browser)
support(application, system)
support(application, technology)
support(book, practice)
support(browser, browser)
support(browser, system)
support(browser, technology)
support(client, service)
support(company, browser)
support(company, organization)
support(company, system)
support(country, book)
support(country, country)
support(country, leader)
support(country, member)
support(country, organization)
support(country, player)
support(editor, system)
support(engine, browser)
support(game, club)
support(member, organization)
support(organization, organization)
support(organization, process)
support(player, company)
support(process, browser)
support(product, system)
support(project, system)
support(service, browser)
support(service, card)
support(service, service)
support(service, system)
support(solution, service)
support(solution, system)
support(sport, club)
support(state, organization)
support(system, application)
support(system, device)
support(system, product)
support(system, service)
support(system, system)
support(system, technology)
support(system, tool)
support(technology, system)
support(tool, application)
support(tool, browser)
support(tool, process)
support(tool, service)
support(tool, system)
support(tool, technology)
support(tool, tool)
support to(card, country)
surface in(disease, country)
surface in(disease, time)
surface in(illness, country)
surpass(country, country)
surpass(state, state)
survive in(herb, country)
suspect(country, country)
suspect(country, state)
suspect in(disease, country)
suspect in(infection, country)
suspect in(organization, country)
suspect of(animal, disease)
suspend(country, process)
suspend(country, technology)
sweep(city, city)
switch to(company, company)
switch to(food, company)
switch to(fruit, company)
take(card, card)
take(city, dish)
take(city, metal)
take(country, country)
take(country, island)
take(country, metal)
take(country, region)
take(disease, drug)
take(disease, hormone)
take(drug, drug)
take(graduate, graduate)
take(island, city)
take(process, gas)
take(service, card)
take(state, metal)
take(state, state)
take control of(country, city)
take down(state, state)
take on(country, country)
take on(country, place)
take on(place, country)
take over(country, place)
take to(artist, service)
taste like(herb, herb)
teach(city, area)
teach(member, area)
teach(site, man)
team with(company, company)
tell(agency, agency)
tell(agency, company)
tell(agency, organization)
tell(agency, publication)
tell(agency, site)
tell(agency, source)
tell(artist, service)
tell(city, agency)
tell(city, publication)
tell(company, agency)
tell(company, publication)
tell(country, country)
tell(country, organisation)
tell(leader, agency)
tell(leader, body)
tell(leader, leader)
tell(leader, man)
tell(leader, organization)
tell(leader, publication)
tell(man, body)
tell(man, company)
tell(man, leader)
tell(man, man)
tell(man, member)
tell(man, organization)
tell(man, publication)
tell(man, site)
tell(member, agency)
tell(member, body)
tell(member, institution)
tell(member, man)
tell(member, member)
tell(member, organization)
tell(member, service)
tell(member, source)
tell(organization, agency)
tell(site, man)
tell(state, publication)
tell(town, service)
tell(village, service)
tell that(leader, country)
tell that(man, country)
tell that(member, country)
test(company, system)
test for(animal, disease)
think(company, browser)
think(country, country)
think(sport, sport)
thrash(city, city)
thrash(state, city)
threaten(country, country)
threaten(man, country)
threaten(state, country)
tick(place, disease)
tick(state, disease)
tick(state, effect)
tip(material, equipment)
tip(material, tool)
to access(browser, tool)
to acquire(company, company)
to acquire(leader, company)
to acquire(manufacturer, company)
to and from(service, city)
to attack(man, country)
to be hold in(event, city)
to beat(city, city)
to beat(country, country)
to beat(country, place)
to beat(place, country)
to beat(state, place)
to beat(state, state)
to become(state, country)
to boycott(country, event)
to build(country, source)
to buy(company, company)
to buy(engine, company)
to buy(engine, site)
to buy(leader, company)
to buy(manufacturer, company)
to come to(card, country)
to control(hormone, disease)
to control(hormone, factor)
to cooperate with(country, organization)
to develop(fruit, device)
to do in(game, city)
to end(organization, community)
to end(organization, organization)
to end(time, time)
to end of(time, time)
to enter(card, country)
to enter(card, member)
to enter into(card, country)
to expand in(company, country)
to find(leader, area)
to find(leader, city)
to find(leader, community)
to find(leader, company)
to find(leader, place)
to find(leader, town)
to find(service, product)
to find(site, company)
to find(source, city)
to find(source, company)
to find(source, place)
to find(website, company)
to focus on(event, country)
to generate(source, service)
to go to(card, country)
to go to(city, city)
to go to(state, state)
